Type,Coverage,OdName,AREA,AreaName,REG,RegName,DEV,DevName,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Immigrants,Foreigners,Comoros,903.0,Africa,910.0,Eastern Africa,902.0,Developing regions,0.0,2.0,2.0,0.0,0.0,2.0,1.0,0.0,2.0,2.0,1.0,3.0,0.0,2.0,4.0,4.0,5.0,2.0,4.0,1.0,3.0,14.0,2.0,11.0,6.0,5.0,7.0,11.0,3.0,19.0,22.0,14.0,18.0,22.0
Immigrants,Foreigners,Congo,903.0,Africa,911.0,Middle Africa,902.0,Developing regions,2.0,0.0,1.0,0.0,1.0,2.0,4.0,1.0,1.0,5.0,3.0,6.0,13.0,4.0,14.0,11.0,15.0,25.0,44.0,102.0,119.0,106.0,84.0,112.0,142.0,136.0,143.0,87.0,72.0,70.0,75.0,81.0,91.0,114.0
Immigrants,Foreigners,Costa Rica,904.0,Latin America and the Caribbean,916.0,Central America,902.0,Developing regions,28.0,35.0,42.0,51.0,75.0,113.0,79.0,116.0,104.0,92.0,99.0,156.0,216.0,184.0,83.0,89.0,118.0,135.0,103.0,100.0,106.0,134.0,106.0,105.0,165.0,188.0,279.0,281.0,246.0,217.0,190.0,149.0,183.0,122.0
Immigrants,Foreigners,Côte d'Ivoire,903.0,Africa,914.0,Western Africa,902.0,Developing regions,14.0,8.0,10.0,6.0,21.0,23.0,23.0,20.0,17.0,37.0,42.0,62.0,62.0,67.0,68.0,101.0,102.0,67.0,57.0,110.0,118.0,143.0,184.0,119.0,256.0,294.0,431.0,619.0,646.0,668.0,1066.0,636.0,1024.0,1170.0
Immigrants,Foreigners,Croatia,908.0,Europe,925.0,Southern Europe,901.0,Developed regions,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151.0,938.0,692.0,647.0,541.0,622.0,676.0,993.0,715.0,376.0,304.0,177.0,151.0,128.0,102.0,102.0,131.0,92.0,91.0,135.0,112.0,125.0
Immigrants,Foreigners,Cuba,904.0,Latin America and the Caribbean,915.0,Caribbean,902.0,Developing regions,306.0,41.0,94.0,104.0,101.0,115.0,102.0,139.0,90.0,122.0,135.0,158.0,220.0,374.0,360.0,421.0,508.0,566.0,531.0,696.0,842.0,950.0,872.0,877.0,866.0,999.0,1064.0,1350.0,1300.0,1433.0,961.0,962.0,1304.0,1402.0
Immigrants,Foreigners,Cyprus,935.0,Asia,922.0,Western Asia,902.0,Developing regions,132.0,128.0,84.0,46.0,46.0,43.0,48.0,48.0,56.0,55.0,27.0,37.0,29.0,42.0,24.0,16.0,31.0,36.0,19.0,15.0,16.0,22.0,13.0,17.0,11.0,7.0,9.0,4.0,7.0,6.0,18.0,6.0,12.0,16.0
Immigrants,Foreigners,Czech Republic,908.0,Europe,923.0,Eastern Europe,901.0,Developed regions,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,107.0,155.0,128.0,149.0,182.0,206.0,524.0,470.0,290.0,226.0,181.0,191.0,193.0,146.0,137.0,104.0,159.0,168.0,128.0,173.0,174.0
Immigrants,Foreigners,Democratic People's Republic of Korea,935.0,Asia,906.0,Eastern Asia,902.0,Developing regions,1.0,1.0,3.0,1.0,4.0,3.0,0.0,0.0,0.0,0.0,1.0,4.0,16.0,0.0,1.0,0.0,0.0,4.0,1.0,4.0,6.0,8.0,11.0,18.0,15.0,14.0,10.0,7.0,19.0,11.0,45.0,97.0,66.0,17.0
Immigrants,Foreigners,Democratic Republic of the Congo,903.0,Africa,911.0,Middle Africa,902.0,Developing regions,15.0,16.0,17.0,17.0,28.0,11.0,38.0,66.0,46.0,48.0,116.0,223.0,439.0,404.0,309.0,529.0,796.0,663.0,768.0,937.0,1232.0,1248.0,1103.0,1233.0,1465.0,1521.0,1623.0,1466.0,1397.0,1581.0,1239.0,1224.0,1714.0,2050.0
Immigrants,Foreigners,Denmark,908.0,Europe,924.0,Northern Europe,901.0,Developed regions,272.0,293.0,299.0,106.0,93.0,73.0,93.0,109.0,129.0,129.0,118.0,111.0,158.0,186.0,93.0,111.0,70.0,83.0,63.0,81.0,93.0,81.0,70.0,89.0,89.0,62.0,101.0,97.0,108.0,81.0,92.0,93.0,94.0,81.0
Immigrants,Foreigners,Djibouti,903.0,Africa,910.0,Eastern Africa,902.0,Developing regions,0.0,1.0,1.0,5.0,1.0,0.0,4.0,2.0,4.0,6.0,10.0,14.0,34.0,23.0,10.0,13.0,19.0,28.0,30.0,85.0,145.0,96.0,62.0,43.0,67.0,93.0,68.0,50.0,47.0,70.0,123.0,127.0,164.0,201.0
Immigrants,Foreigners,Dominica,904.0,Latin America and the Caribbean,915.0,Caribbean,902.0,Developing regions,104.0,81.0,94.0,65.0,81.0,79.0,50.0,89.0,75.0,96.0,77.0,127.0,125.0,106.0,57.0,77.0,66.0,68.0,56.0,67.0,72.0,82.0,62.0,65.0,50.0,59.0,72.0,79.0,60.0,59.0,43.0,36.0,43.0,48.0
Immigrants,Foreigners,Dominican Republic,904.0,Latin America and the Caribbean,915.0,Caribbean,902.0,Developing regions,40.0,53.0,104.0,88.0,97.0,84.0,307.0,446.0,358.0,409.0,363.0,517.0,557.0,646.0,432.0,276.0,306.0,285.0,210.0,254.0,241.0,264.0,202.0,234.0,270.0,303.0,295.0,311.0,438.0,391.0,479.0,739.0,604.0,590.0
Immigrants,Foreigners,Ecuador,904.0,Latin America and the Caribbean,931.0,South America,902.0,Developing regions,238.0,207.0,184.0,155.0,179.0,208.0,240.0,344.0,265.0,278.0,552.0,643.0,644.0,547.0,431.0,368.0,310.0,317.0,295.0,291.0,342.0,353.0,418.0,361.0,417.0,491.0,525.0,419.0,437.0,373.0,353.0,348.0,282.0,418.0
Immigrants,Foreigners,Egypt,903.0,Africa,912.0,Northern Africa,902.0,Developing regions,612.0,660.0,755.0,455.0,447.0,348.0,514.0,1017.0,1085.0,1663.0,2365.0,1860.0,1558.0,1598.0,2375.0,2821.0,2561.0,2137.0,1387.0,1378.0,1642.0,2595.0,2039.0,2230.0,2393.0,2496.0,2190.0,2356.0,3347.0,3496.0,5982.0,4663.0,5555.0,4165.0
Immigrants,Foreigners,El Salvador,904.0,Latin America and the Caribbean,916.0,Central America,902.0,Developing regions,110.0,295.0,882.0,2587.0,2666.0,2769.0,3106.0,3558.0,2720.0,2955.0,4384.0,7124.0,5670.0,2977.0,1217.0,722.0,736.0,603.0,477.0,424.0,569.0,453.0,473.0,446.0,442.0,436.0,430.0,929.0,1115.0,845.0,787.0,691.0,641.0,639.0
Immigrants,Foreigners,Equatorial Guinea,903.0,Africa,911.0,Middle Africa,902.0,Developing regions,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,4.0,1.0,2.0,2.0,2.0,3.0,4.0,5.0,1.0,5.0,4.0,4.0,4.0,11.0
Immigrants,Foreigners,Eritrea,903.0,Africa,910.0,Eastern Africa,902.0,Developing regions,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,58.0,100.0,80.0,77.0,79.0,153.0,221.0,176.0,262.0,414.0,528.0,700.0,699.0,799.0,904.0,931.0,1182.0,1335.0,1719.0
Immigrants,Foreigners,Estonia,908.0,Europe,924.0,Northern Europe,901.0,Developed regions,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,4.0,30.0,51.0,39.0,70.0,89.0,73.0,50.0,54.0,58.0,30.0,38.0,56.0,27.0,26.0,18.0,34.0,34.0,26.0,28.0,15.0,26.0,45.0
Immigrants,Foreigners,Ethiopia,903.0,Africa,910.0,Eastern Africa,902.0,Developing regions,98.0,59.0,54.0,98.0,154.0,157.0,302.0,555.0,690.0,1096.0,890.0,1168.0,1876.0,1779.0,1204.0,870.0,999.0,739.0,563.0,678.0,1074.0,1062.0,818.0,1399.0,1535.0,1506.0,1801.0,1512.0,1613.0,1289.0,1865.0,2163.0,1864.0,1606.0
Immigrants,Foreigners,Fiji,909.0,Oceania,928.0,Melanesia,902.0,Developing regions,632.0,705.0,814.0,554.0,389.0,446.0,361.0,523.0,561.0,736.0,1172.0,1619.0,1782.0,1317.0,1016.0,674.0,621.0,448.0,388.0,360.0,458.0,643.0,611.0,561.0,495.0,298.0,277.0,304.0,321.0,311.0,398.0,316.0,270.0,228.0
Immigrants,Foreigners,Finland,908.0,Europe,924.0,Northern Europe,901.0,Developed regions,208.0,205.0,170.0,70.0,83.0,69.0,68.0,92.0,89.0,78.0,73.0,63.0,76.0,98.0,99.0,76.0,58.0,82.0,55.0,63.0,70.0,53.0,59.0,65.0,54.0,67.0,51.0,62.0,89.0,63.0,63.0,72.0,62.0,76.0
Immigrants,Foreigners,France,908.0,Europe,926.0,Western Europe,901.0,Developed regions,1729.0,2027.0,2219.0,1490.0,1169.0,1177.0,1298.0,1658.0,2038.0,2332.0,2177.0,2911.0,3487.0,3709.0,2759.0,3332.0,2623.0,2473.0,3214.0,3343.0,3765.0,3806.0,3463.0,3568.0,4391.0,4429.0,4002.0,4290.0,4532.0,5051.0,4646.0,4080.0,6280.0,5623.0
Immigrants,Foreigners,Gabon,903.0,Africa,911.0,Middle Africa,902.0,Developing regions,2.0,3.0,2.0,2.0,1.0,0.0,0.0,5.0,3.0,4.0,10.0,5.0,3.0,8.0,4.0,5.0,9.0,12.0,14.0,20.0,16.0,26.0,24.0,42.0,33.0,67.0,68.0,101.0,86.0,86.0,64.0,63.0,74.0,90.0
Immigrants,Foreigners,Gambia,903.0,Africa,914.0,Western Africa,902.0,Developing regions,0.0,0.0,1.0,0.0,0.0,2.0,4.0,22.0,3.0,6.0,12.0,21.0,51.0,43.0,15.0,23.0,19.0,25.0,17.0,18.0,23.0,22.0,10.0,10.0,10.0,29.0,38.0,32.0,25.0,10.0,37.0,24.0,18.0,33.0
Immigrants,Foreigners,Georgia,935.0,Asia,922.0,Western Asia,902.0,Developing regions,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,22.0,27.0,67.0,49.0,46.0,92.0,46.0,83.0,124.0,123.0,127.0,106.0,114.0,125.0,132.0,112.0,128.0,126.0,139.0,147.0,125.0
Immigrants,Foreigners,Germany,908.0,Europe,926.0,Western Europe,901.0,Developed regions,1626.0,1977.0,3062.0,2376.0,1610.0,1441.0,1233.0,1704.0,1482.0,1706.0,1273.0,1273.0,1181.0,1488.0,1255.0,1553.0,1686.0,1397.0,1363.0,1717.0,1703.0,1456.0,1375.0,1865.0,2020.0,2226.0,2767.0,2449.0,3833.0,3887.0,2956.0,2053.0,1702.0,1217.0
Immigrants,Foreigners,Ghana,903.0,Africa,914.0,Western Africa,902.0,Developing regions,172.0,196.0,98.0,122.0,116.0,172.0,215.0,970.0,408.0,429.0,449.0,1134.0,2502.0,2201.0,1341.0,1475.0,1219.0,1274.0,1040.0,845.0,959.0,782.0,696.0,564.0,738.0,851.0,710.0,688.0,629.0,659.0,802.0,528.0,531.0,517.0
Immigrants,Foreigners,Greece,908.0,Europe,925.0,Southern Europe,901.0,Developed regions,1065.0,953.0,897.0,633.0,580.0,584.0,547.0,765.0,564.0,773.0,538.0,592.0,492.0,445.0,275.0,220.0,221.0,190.0,141.0,149.0,150.0,135.0,107.0,117.0,120.0,100.0,74.0,110.0,107.0,119.0,101.0,102.0,146.0,298.0
